TEMPO_VIVIE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;BOLSA_FAMILIA;POP_RUA;GRAU_INSTRUCAO;COR_RACA;FAIXA_RENDA_FAMILIAR_PER_CAPITA;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Entre dois e cinco anos;Nunca;26/01/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Ate seis meses;Toda semana;12/05/1982 00:00;37;MASCULINO;SIM;SIM;Superior incompleto ou mais;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;16/11/1980 00:00;38;MASCULINO;SIM;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo ano;12/09/1984 00:00;35;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;16/06/1980 00:00;39;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Entre seis meses e um ano;Todo mês;13/11/1956 00:00;62;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Todo mês;21/08/1961 00:00;58;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;26/02/1970 00:00;49;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;08/03/1983 00:00;36;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;08/05/1968 00:00;51;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;18/05/1983 00:00;36;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Ate seis meses;Nunca;28/01/1981 00:00;38;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Ate seis meses;Nunca;09/01/1984 00:00;35;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;20/06/1994 00:00;25;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;200;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Toda semana;18/09/1994 00:00;25;MASCULINO;SIM;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;13/09/1983 00:00;36;MASCULINO;SIM;SIM;Superior incompleto ou mais;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Todo mês;10/11/1994 00:00;24;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;27/08/1984 00:00;35;MASCULINO;SIM;SIM;Medio incompleto;Branca;Ate R$89,00;80;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Toda semana;17/09/1984 00:00;35;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Todo mês;08/04/1968 00:00;51;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Mais de dez anos;Quase nunca;15/04/1984 00:00;35;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Ate seis meses;Nunca;22/08/1977 00:00;42;MASCULINO;SIM;SIM;Superior incompleto ou mais;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Todo dia;18/02/1960 00:00;59;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;19/12/1996 00:00;22;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;25/08/1976 00:00;43;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;10/08/1970 00:00;49;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;19/06/1990 00:00;29;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;15/12/1994 00:00;24;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;07/03/1991 00:00;28;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Todo ano;28/03/1976 00:00;43;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;02/11/1988 00:00;30;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;11/03/1989 00:00;30;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;22/05/1979 00:00;40;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;29/04/1982 00:00;37;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;200;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo ano;26/01/1971 00:00;48;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;29/06/1992 00:00;27;MASCULINO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Ate seis meses;Toda semana;30/03/1984 00:00;35;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Nunca;10/01/1998 00:00;21;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Todo ano;15/04/1991 00:00;28;FEMININO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Ate seis meses;Nunca;25/06/1990 00:00;29;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;150;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre cinco e dez anos;Nunca;10/02/1976 00:00;43;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;20;CRAS VILA SENHOR DOS PASSOS;NOROESTE;25 a 36 Meses;out/19
Ate seis meses;Todo dia;25/06/1976 00:00;43;FEMININO;SIM;SIM;Fundamental completo;Preta;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Entre dois e cinco anos;Todo dia;10/12/1974 00:00;44;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;0;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;23/10/1975 00:00;43;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;25 a 36 Meses;out/19
Mais de dez anos;Todo ano;04/04/1979 00:00;40;FEMININO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;25 a 36 Meses;out/19
Entre seis meses e um ano;Todo ano;10/04/1975 00:00;44;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Todo mês;06/09/1969 00:00;50;FEMININO;SIM;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;out/19
Ate seis meses;Nunca;11/12/1980 00:00;38;FEMININO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;09/11/1992 00:00;26;FEMININO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Mais de dez anos;Nunca;11/05/1971 00:00;48;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;20/01/1997 00:00;22;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS VILA SANTA RITA DE CASSIA;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Nunca;05/01/1982 00:00;37;FEMININO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;09/07/1993 00:00;26;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;50;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Toda semana;19/06/1975 00:00;44;FEMININO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;ate 12 Meses;out/19
Ate seis meses;Quase nunca;12/07/1977 00:00;42;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;CRAS VILA MARIA;NORDESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;30/06/1956 00:00;63;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo ano;27/11/1978 00:00;40;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;EndereÃ§o Fora de Ãrea CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;09/09/1979 00:00;40;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;08/02/1980 00:00;39;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Toda semana;23/06/1970 00:00;49;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;28/10/1972 00:00;46;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre cinco e dez anos;Quase nunca;13/08/1980 00:00;39;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;13 a 18 Meses;out/19
Ate seis meses;Nunca;06/07/1995 00:00;24;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;CRAS NOVO AARAO REIS - BRASILINA MARIA DE OLIVEIRA;NORTE;ate 12 Meses;out/19
Entre um e dois anos;Nunca;18/04/1973 00:00;46;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Quase nunca;17/03/1983 00:00;36;FEMININO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;60;ENDERECO FORA AREA CRAS;VENDA NOVA;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;07/07/1971 00:00;48;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;25 a 36 Meses;out/19
Entre seis meses e um ano;Quase nunca;26/07/1995 00:00;24;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Ate seis meses;Toda semana;14/03/1992 00:00;27;MASCULINO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Ate seis meses;Nunca;20/01/1995 00:00;24;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Entre seis meses e um ano;Todo mês;01/07/1977 00:00;42;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;20;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;05/10/1960 00:00;59;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Entre cinco e dez anos;Nunca;08/09/1971 00:00;48;FEMININO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;40;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre seis meses e um ano;Toda semana;08/12/1986 00:00;32;FEMININO;SIM;SIM;Medio completo;Parda;Ate R$89,00;0;CRAS GRANJA DE FREITAS;LESTE;19 a 24 Meses;out/19
Entre um e dois anos;Todo mês;11/10/1971 00:00;48;FEMININO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;30;ENDERECO FORA AREA CRAS;NOROESTE;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;19/08/1998 00:00;21;FEMININO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;21/01/1999 00:00;20;FEMININO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Quase nunca;29/03/1972 00:00;47;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NOROESTE;25 a 36 Meses;out/19
Ate seis meses;Nunca;25/05/1962 00:00;57;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;17/02/1976 00:00;43;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Entre dois e cinco anos;Todo mês;02/01/2000 00:00;19;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;19 a 24 Meses;out/19
Entre um e dois anos;Nunca;14/02/1994 00:00;25;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;21/09/1997 00:00;22;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;100;EndereÃ§o Fora de Ãrea CRAS;NOROESTE;ate 12 Meses;out/19
Ate seis meses;Nunca;18/07/1978 00:00;41;FEMININO;SIM;SIM;Medio completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;24/04/1984 00:00;35;FEMININO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;07/02/1993 00:00;26;FEMININO;SIM;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;BARREIRO;25 a 36 Meses;out/19
Entre cinco e dez anos;Todo ano;05/08/1958 00:00;61;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;50;CRAS NOVO OURO PRETO;PAMPULHA;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;05/08/1960 00:00;59;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;17/02/1968 00:00;51;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS ALTO VERA CRUZ;LESTE;ate 12 Meses;out/19
Mais de dez anos;Nunca;25/09/1974 00:00;45;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;25 a 36 Meses;out/19
Entre seis meses e um ano;Quase nunca;14/02/1973 00:00;46;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS GRANJA DE FREITAS;LESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;23/05/1980 00:00;39;FEMININO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Quase nunca;24/08/1981 00:00;38;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Ate seis meses;Nunca;03/07/1984 00:00;35;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Entre cinco e dez anos;Nunca;01/10/1996 00:00;23;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Nunca;26/09/1963 00:00;56;FEMININO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;13 a 18 Meses;out/19
Ate seis meses;Nunca;29/04/1976 00:00;43;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;out/19
Entre um e dois anos;Quase nunca;27/02/1973 00:00;46;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;VENDA NOVA;13 a 18 Meses;out/19
Ate seis meses;Todo mês;28/06/1988 00:00;31;FEMININO;SIM;SIM;Medio completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Ate seis meses;Toda semana;15/05/1980 00:00;39;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;30;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;21/08/1971 00:00;48;FEMININO;SIM;SIM;Medio incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre um e dois anos;Nunca;28/03/1981 00:00;38;FEMININO;SIM;SIM;Fundamental completo;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;17/05/1976 00:00;43;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre um e dois anos;Quase nunca;06/08/1967 00:00;52;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;10/11/1974 00:00;44;FEMININO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;NORDESTE;13 a 18 Meses;out/19
Entre um e dois anos;Todo mês;09/02/1986 00:00;33;FEMININO;SIM;SIM;Medio incompleto;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Entre seis meses e um ano;Toda semana;18/07/1991 00:00;28;FEMININO;SIM;SIM;Medio incompleto;Parda;Ate R$89,00;0;CRAS PETRÃ“POLIS;BARREIRO;ate 12 Meses;out/19
Entre dois e cinco anos;Quase nunca;02/05/1990 00:00;29;FEMININO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Ate seis meses;Nunca;25/09/1977 00:00;42;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;511;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre seis meses e um ano;Toda semana;31/07/1996 00:00;23;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Entre um e dois anos;Todo ano;09/11/1984 00:00;34;FEMININO;SIM;SIM;Fundamental incompleto;Preta;Ate R$89,00;0;CRAS NOVO OURO PRETO;PAMPULHA;ate 12 Meses;out/19
Ate seis meses;Todo mês;18/07/1996 00:00;23;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA COQUEIRAL;NOROESTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Nunca;25/11/1975 00:00;43;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;19 a 24 Meses;out/19
Mais de dez anos;Nunca;10/12/1991 00:00;27;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Nunca;05/08/1956 00:00;63;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS VILA BIQUINHAS;NORTE;13 a 18 Meses;out/19
Entre dois e cinco anos;Todo mês;13/01/1996 00:00;23;FEMININO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;13 a 18 Meses;out/19
Mais de dez anos;Todo mês;15/10/1983 00:00;36;FEMININO;SIM;SIM;Sem instrucao;Preta;Ate R$89,00;30;CRAS VILA SENHOR DOS PASSOS;NOROESTE;19 a 24 Meses;out/19
Ate seis meses;Nunca;22/04/1972 00:00;47;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;ate 12 Meses;out/19
Entre um e dois anos;Todo mês;22/08/1986 00:00;33;FEMININO;SIM;SIM;Fundamental completo;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Nunca;12/10/1973 00:00;46;MASCULINO;SIM;SIM;Fundamental completo;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Todo mês;20/04/1958 00:00;61;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Entre R$178,01 ate 1/2 S.M.;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;out/19
Entre cinco e dez anos;Nunca;30/12/1984 00:00;34;FEMININO;SIM;SIM;Sem instrucao;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre seis meses e um ano;Nunca;26/07/1968 00:00;51;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;0;ENDERECO FORA AREA CRAS;OESTE;13 a 18 Meses;out/19
Mais de dez anos;Todo mês;27/06/1988 00:00;31;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Ate seis meses;Todo dia;14/12/1974 00:00;44;MASCULINO;SIM;SIM;Medio completo;Preta;Ate R$89,00;50;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Entre dois e cinco anos;Nunca;30/12/1997 00:00;21;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PETROPOLIS;BARREIRO;ate 12 Meses;out/19
Ate seis meses;Todo mês;06/10/1979 00:00;40;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;CRAS PROVIDENCIA;NORTE;25 a 36 Meses;out/19
Ate seis meses;Quase nunca;22/03/1997 00:00;22;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO NÃO GEORREFERENCIADO;ENDERECO NAO GEORREFERENCIADO;ate 12 Meses;out/19
Entre um e dois anos;Nunca;28/01/1986 00:00;33;FEMININO;SIM;SIM;Fundamental incompleto;Parda;Ate R$89,00;0;ENDERECO FORA AREA CRAS;CENTRO-SUL;ate 12 Meses;out/19
Mais de dez anos;Nunca;26/04/1971 00:00;48;FEMININO;SIM;SIM;Fundamental incompleto;Branca;Ate R$89,00;50;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;out/19
